transaction_id,customer_id,product_id,amount,transaction_date,status,channel
1,17122,1052,1697.18,2025-02-05,failed,online
2,23782,3758,580.19,2025-12-18,completed,online
3,32185,2263,1985.43,2025-07-31,completed,online
4,41642,4720,383.03,2025-05-17,failed,online
5,33688,3035,871.56,2025-11-07,completed,online
6,37532,3187,1869.17,2025-02-10,completed,online
7,36992,1212,1570.81,2025-02-24,failed,online
8,18797,4964,976.82,2025-06-16,completed,online
9,46807,1384,1350.05,2025-09-30,completed,online
10,34267,1,1225.95,2025-03-17,completed,online
11,10601,2967,1669.13,2025-09-17,completed,online
12,12353,1,965.55,2025-12-25,failed,online
13,32155,3540,1840.39,2025-10-11,completed,online
14,18896,1749,727.57,2025-12-20,completed,online
15,35832,4161,1418.93,2025-10-04,completed,online
16,32136,805,1257.32,2025-12-23,failed,online
17,5337,4059,1487.81,2025-04-13,failed,online
18,22337,2750,862.35,2025-02-16,failed,online
19,29747,2794,1519.11,2025-06-25,completed,online
20,43109,1163,610.35,2025-11-14,completed,online
21,8448,1155,757.65,2025-07-30,completed,online
22,37046,2488,1941.03,2025-01-13,failed,online
23,44257,1862,52.01,2025-03-28,completed,online
24,6099,1947,1772.94,2025-11-30,failed,online
25,7418,576,1908.42,2025-02-13,failed,online
26,41511,315,715.15,2025-01-07,completed,online
27,24048,4501,327.67,2025-10-14,completed,online
28,13543,825,820.85,2025-04-27,completed,online
29,45657,3661,1625.05,2025-04-29,failed,online
30,39431,1678,1707.11,2025-11-26,completed,online
31,25987,4208,1244.92,2025-05-30,failed,online
32,24621,47,1627.84,2025-01-05,failed,online
33,47522,1702,1969.87,2025-02-12,failed,online
34,44357,4799,834.46,2025-09-13,completed,online
35,8914,2279,1270.54,2025-07-11,completed,online
36,7693,2598,605.08,2025-05-20,failed,online
37,5856,1,734.41,2025-07-04,completed,online
38,3593,1,71.45,2025-01-14,completed,online
39,31044,2684,173.61,2025-04-14,completed,online
40,21203,1,865.72,2025-03-14,completed,online
41,38274,2712,1931.61,2025-02-18,completed,online
42,2019,2756,694.0,2025-09-11,completed,online
43,853,1315,273.18,2025-02-04,failed,online
44,17366,2396,243.2,2025-07-01,failed,online
45,39747,1,1673.68,2025-08-31,completed,online
46,41479,2625,936.49,2025-09-03,failed,online
47,10575,502,1482.99,2025-07-10,completed,online
48,46604,426,280.21,2025-03-06,completed,online
49,40941,2894,1832.28,2025-07-14,completed,online
50,33894,1,1956.75,2025-03-25,completed,online
51,43572,1,151.4,2025-12-25,failed,
52,738,2925,236.69,2025-04-06,completed,online
53,35230,1,1567.54,2025-10-16,failed,online
54,32740,556,583.87,2025-10-20,failed,online
55,12095,1264,41.49,2025-10-03,completed,online
56,43841,4215,367.68,2025-05-16,completed,online
57,393,1,1865.92,2025-08-06,failed,online
58,35727,1293,8709.310640118498,2025-04-14,failed,online
59,2457,3315,138.08,2025-03-07,completed,online
60,40392,1,1212.17,2025-06-02,completed,online
61,16587,2132,392.82,2025-01-29,failed,online
62,33613,3801,1517.79,2025-03-16,failed,online
63,23166,4072,721.02,2025-08-31,completed,online
64,31100,1827,152.72,2025-12-27,completed,online
65,42630,1,1769.69,2025-01-01,completed,online
66,6355,1,1758.14,2025-07-03,completed,online
67,11576,2665,1414.44,2025-12-22,failed,online
68,4162,2997,905.81,2025-09-26,completed,online
69,34761,2144,1674.7,2025-07-10,completed,online
70,49409,1344,1002.46,2025-11-15,completed,online
71,41704,891,12.74,2025-10-22,failed,online
72,38121,75,1836.12,2025-12-17,completed,online
73,38282,3235,1950.93,2025-08-17,failed,online
74,5605,1595,6391.74036649106,2025-11-08,completed,online
75,17249,3045,1049.43,2025-09-24,completed,online
76,41052,1,678.2,2025-09-14,completed,online
77,18686,9,1327.32,2025-12-21,failed,online
78,8239,271,1014.67,2025-09-12,failed,online
79,48982,1,390.18,2025-04-13,failed,online
80,18230,4743,1979.39,2025-08-23,completed,online
81,6653,1,1887.51,2025-01-09,failed,online
82,3874,4109,57.05,2025-04-20,completed,online
83,9591,2,1585.27,2025-11-06,failed,online
84,1169,3616,1414.71,2025-09-11,failed,online
85,29495,3653,1167.77,2025-07-13,failed,online
86,8831,3210,499.41,2025-08-11,completed,online
87,39935,1,111.81,2025-09-10,completed,online
88,25477,3250,1907.62,2025-06-06,failed,online
89,21279,3044,821.08,2025-05-09,failed,online
90,31957,1622,1188.8,2025-03-01,failed,online
91,12622,1,1978.14,2025-02-07,completed,online
92,31027,3613,796.96,2025-07-25,completed,online
93,20739,4659,908.26,2025-12-06,failed,online
94,24519,4890,1377.51,2025-09-03,completed,online
95,47634,4499,356.82,2025-06-17,completed,online
96,4990,3554,473.52,2025-07-15,failed,online
97,14497,925,1164.09,2025-08-15,completed,online
98,10868,1204,193.03,2025-11-21,failed,online
99,30804,603,827.03,2025-08-28,completed,online
100,27190,1250,1005.78,2025-12-10,failed,online
101,5309,3641,965.18,2025-12-06,completed,online
102,39930,1,863.04,2025-02-21,failed,online
103,26922,1,1982.7,2025-08-20,failed,online
104,33400,735,651.84,2025-02-21,completed,online
105,23621,364,1409.7,2025-11-18,failed,online
106,44389,1766,544.05,2025-07-16,failed,online
107,27276,1242,1820.15,2025-07-15,failed,online
108,37759,1,632.3,2025-12-24,failed,online
109,40667,1,416.03,2025-07-03,completed,online
110,2732,4552,961.31,2025-05-01,completed,online
111,1435,163,1925.22,2025-12-22,completed,online
112,11071,2110,1855.81,2025-05-07,failed,online
113,7715,4396,692.82,2025-05-05,failed,online
114,47968,1304,943.61,2025-04-06,failed,online
115,44246,25,30.12,2025-06-21,failed,online
116,17874,3337,1362.94,2025-09-20,failed,online
117,25793,4322,1201.15,2025-10-15,completed,online
118,6029,1368,1592.31,2025-12-11,completed,online
119,34718,2121,1363.18,2025-01-08,completed,online
120,34687,1767,1257.94,2025-01-19,completed,online
121,46721,449,1110.41,2025-09-03,completed,
122,22082,1505,1707.6,2025-11-17,completed,online
123,1457,1,1197.62,2025-10-23,failed,online
124,48106,3021,139.98,2025-05-20,failed,online
125,8813,4073,1945.13,2025-08-25,completed,online
126,27591,2907,276.78,2025-05-19,failed,online
127,49887,4617,1003.67,2025-08-26,completed,online
128,45882,13,718.34,2025-01-31,completed,online
129,17737,194,1536.85,2025-08-31,completed,online
130,34470,1,810.51,2025-10-21,completed,online
131,12066,2629,1483.08,2025-07-10,failed,online
132,13367,1,1188.36,2025-06-26,completed,online
133,5152,1,56.94,2025-10-24,failed,online
134,41013,4266,1953.6,2025-11-21,failed,online
135,38667,4392,742.38,2025-05-29,failed,online
136,32690,97,1348.04,2025-07-01,completed,online
137,32908,2451,747.57,2025-08-06,completed,online
138,28237,324,953.69,2025-08-16,completed,online
139,30046,1,546.46,2025-03-22,completed,online
140,9162,1499,533.4,2025-09-27,failed,online
141,42424,3417,292.48,2025-05-04,failed,online
142,30388,1491,805.65,2025-10-30,completed,online
143,28092,3190,1159.53,2025-04-13,failed,online
144,49164,4378,1721.94,2025-08-23,completed,online
145,5137,2165,324.44,2025-07-21,failed,online
146,34158,161,325.75,2025-09-11,completed,online
147,8797,1085,1077.02,2025-02-23,completed,online
148,4846,2215,682.76,2025-11-16,failed,online
149,13647,1,1912.22,2025-10-25,completed,online
150,8763,47,168.68,2025-06-16,completed,online
151,27286,1,1621.77,2025-03-06,failed,online
152,14257,4953,1746.36,2025-12-15,failed,online
153,39244,4560,1105.03,2025-11-18,completed,online
154,13801,1,1101.86,2025-12-13,completed,online
155,37290,3014,41.53,2025-08-26,failed,online
156,9915,3465,1338.17,2025-08-31,failed,online
157,29130,2576,849.24,2025-03-28,completed,online
158,16568,4080,1319.84,2025-02-13,failed,online
159,10365,1,1114.76,2025-02-13,completed,online
160,21952,1,733.71,2025-08-07,failed,online
161,41397,7,491.8,2025-02-18,completed,online
162,28965,1,614.64,2025-12-01,failed,online
163,7954,2554,1387.2,2025-03-21,completed,online
164,2322,2246,419.53,2025-09-07,completed,online
165,16412,1,283.74,2025-09-23,failed,online
166,11741,2022,1088.51,2025-01-19,completed,online
167,40313,3088,760.3,2025-05-22,failed,online
168,13738,1800,26.33,2025-06-09,completed,online
169,37621,2469,1065.81,2025-04-07,failed,online
170,14190,1430,448.28,2025-04-04,failed,online
171,29788,3915,426.14,2025-12-10,failed,online
172,13248,1,1346.86,2025-08-21,completed,online
173,7759,4368,647.36,2025-06-28,completed,online
174,8732,90,1262.54,2025-05-30,completed,online
175,45367,2835,1487.93,2025-10-29,failed,online
176,35130,4151,1342.95,2025-06-15,completed,online
177,9079,2250,1239.54,2025-07-03,completed,online
178,35039,4502,989.31,2025-02-18,completed,online
179,6112,784,229.07,2025-07-02,failed,online
180,8945,2400,857.51,2025-02-14,failed,online
181,26053,1140,665.66,2025-07-28,failed,online
182,48855,4071,1400.62,2025-05-14,failed,online
183,44043,1,1634.35,2025-06-10,failed,online
184,31020,2669,1252.26,2025-04-17,completed,online
185,41314,1,1696.72,2025-08-22,failed,online
186,4133,2783,1558.66,2025-08-24,failed,online
187,48209,1,1980.0,2025-12-14,completed,online
188,414,947,1834.4,2025-01-21,failed,online
189,17585,1661,1436.65,2025-11-03,failed,
190,399,1725,788.25,2025-07-19,completed,online
191,31004,1,507.25,2025-06-06,completed,online
192,35329,2530,1507.67,2025-07-05,completed,online
193,31501,1367,1603.06,2025-07-14,completed,
194,48788,4910,1835.68,2025-05-14,failed,online
195,32120,3073,1471.83,2025-11-06,failed,online
196,8190,1621,1027.9,2025-01-10,completed,online
197,7344,1,1090.87,2025-10-30,completed,online
198,36163,2610,1433.5,2025-01-26,failed,online
199,20928,1,1132.69,2025-06-06,failed,online
200,36584,24,675.24,2025-08-14,failed,online
201,11559,4714,318.49,2025-01-11,failed,online
202,28090,2586,99.84,2025-11-18,failed,online
203,27916,422,1034.85,2025-01-06,failed,
204,34917,1,605.45,2025-03-22,failed,online
205,38454,3646,560.05,2025-04-11,completed,online
206,30661,1,101.87,2025-07-23,failed,online
207,39482,3518,784.59,2025-03-14,completed,online
208,11662,4729,684.85,2025-11-03,failed,online
209,45518,158,941.04,2025-10-16,completed,online
210,47311,4256,1891.48,2025-08-19,failed,online
211,10100,2283,139.5,2025-01-23,completed,online
212,36625,521,1998.71,2025-11-21,completed,online
213,48270,2312,564.36,2025-05-01,completed,online
214,10699,4688,314.54,2025-04-05,failed,online
215,13361,329,482.99,2025-04-11,completed,online
216,14477,3930,734.29,2025-12-11,failed,online
217,16526,1753,538.63,2025-01-18,failed,online
218,3056,887,1465.06,2025-05-23,completed,online
219,15575,2261,1933.21,2025-08-20,failed,online
220,10110,2054,995.12,2025-12-29,failed,online
221,48567,1131,672.59,2025-08-29,failed,online
222,47108,1,593.19,2025-03-04,failed,online
223,36056,1,1528.59,2025-05-19,completed,online
224,33183,2445,23.44,2025-12-03,completed,online
225,31397,600,574.88,2025-09-09,completed,online
226,1166,4416,1742.24,2025-08-24,completed,online
227,23144,2329,769.86,2025-11-09,completed,online
228,35316,1212,180.6,2025-04-05,failed,online
229,2546,2737,1625.29,2025-05-11,failed,online
230,31525,1,503.72,2025-05-31,completed,online
231,13351,1861,1005.37,2025-02-06,failed,online
232,3313,1,85.41,2025-04-13,completed,online
233,46269,1,1466.29,2025-04-17,completed,online
234,48985,3162,1599.81,2025-12-03,completed,online
235,10534,4820,971.59,2025-06-01,failed,online
236,16660,2035,263.88,2025-04-24,failed,online
237,43840,2837,33.08,2025-01-15,failed,online
238,44185,3866,1725.99,2025-06-12,failed,online
239,32403,4019,146.64,2025-04-06,completed,online
240,8215,2724,111.66,2025-06-13,failed,online
241,12540,1333,309.79,2025-12-11,completed,online
242,6178,1259,1470.66,2025-08-21,failed,online
243,47048,2637,290.91,2025-11-17,failed,online
244,30775,4623,1003.26,2025-04-12,completed,online
245,38857,1,934.29,2025-07-05,completed,online
246,4756,3638,1787.09,2025-06-07,completed,online
247,22944,4573,970.43,2025-01-26,completed,online
248,34180,1,203.16,2025-09-08,completed,online
249,6570,4489,1996.47,2025-05-11,failed,online
250,36541,291,1525.34,2025-04-04,failed,online
251,4814,3969,1614.46,2025-07-23,completed,online
252,12693,1319,593.95,2025-02-26,completed,
253,39086,2099,1091.41,2025-08-27,completed,online
254,22372,4696,1427.36,2025-10-15,failed,online
255,49395,2399,851.85,2025-04-18,failed,online
256,13030,4268,63.24,2025-04-01,failed,online
257,11544,3610,1843.39,2025-09-04,failed,online
258,24253,2566,1597.6,2025-05-06,completed,online
259,34178,4069,588.58,2025-03-09,failed,online
260,11766,1,934.84,2025-11-01,failed,online
261,35102,1,190.63,2025-05-03,failed,online
262,26523,1,1279.54,2025-02-16,failed,online
263,9960,2041,1893.27,2025-01-19,completed,online
264,9879,1858,1013.8,2025-03-25,failed,online
265,34220,1,526.77,2025-04-24,failed,online
266,21472,2241,1916.22,2025-06-27,completed,online
267,7272,3108,931.27,2025-02-17,completed,online
268,903,1838,1033.6,2025-10-23,failed,
269,35195,2338,1983.01,2025-03-15,completed,online
270,10922,2860,87.0,2025-02-12,failed,online
271,31891,2296,915.64,2025-11-21,failed,online
272,6278,916,664.87,2025-04-27,completed,online
273,32079,1101,557.4,2025-03-12,completed,online
274,301,2018,1496.44,2025-04-26,failed,online
275,49278,4107,1371.79,2025-01-28,failed,online
276,30095,2923,891.75,2025-09-22,failed,online
277,36778,411,1835.84,2025-05-06,completed,online
278,21917,4317,578.74,2025-06-25,completed,online
279,24434,220,53.31,2025-02-20,completed,online
280,39048,4159,168.05,2025-09-17,failed,online
281,2613,1,990.3,2025-10-01,failed,online
282,30563,2535,1086.5,2025-03-25,completed,online
283,11645,1518,458.45,2025-07-27,failed,online
284,10459,1418,1223.32,2025-06-10,completed,online
285,28778,3493,1752.41,2025-08-06,failed,online
286,27342,1,1412.79,2025-12-12,failed,online
287,11512,3698,1527.98,2025-12-22,failed,online
288,21411,2692,1771.49,2025-02-20,failed,online
289,34934,236,1906.77,2025-01-28,failed,online
290,23182,1,835.69,2025-10-05,completed,online
291,14850,1,583.16,2025-02-06,completed,online
292,4325,2863,1175.68,2025-09-12,failed,online
293,18758,1,806.06,2025-07-16,failed,online
294,15395,1,571.85,2025-02-09,completed,online
295,39263,1,95.79,2025-08-28,failed,online
296,37929,2925,212.52,2025-05-08,failed,online
297,42946,990,1668.15,2025-07-10,completed,online
298,18384,3481,1223.23,2025-03-28,completed,online
299,38249,3766,562.61,2025-11-02,failed,online
300,32678,4172,770.75,2025-03-11,completed,online
301,47163,4918,764.74,2025-08-10,completed,online
302,10239,1,1298.3,2025-11-05,completed,online
303,23044,4591,691.61,2025-01-15,completed,online
304,22543,3823,1917.38,2025-02-14,failed,online
305,16649,1812,406.83,2025-08-23,completed,online
306,1539,3360,1773.0,2026-01-01,failed,online
307,39300,4816,1241.5,2025-05-29,completed,online
308,26649,1,466.92,2025-05-06,failed,online
309,9986,1882,96.68,2025-02-12,failed,online
310,11414,1,1710.57,2025-12-26,completed,online
311,49242,1,624.06,2025-04-07,failed,online
312,23401,4933,253.0,2025-06-29,completed,online
313,30149,4488,353.63,2025-03-26,failed,online
314,21852,3889,1996.9,2025-12-27,completed,online
315,41679,161,877.9,2025-07-28,failed,online
316,36569,2111,870.62,2025-09-26,completed,online
317,18533,1,1252.23,2025-07-30,completed,online
318,21587,2049,1397.4,2025-02-06,failed,online
319,34578,3563,1719.8,2025-12-27,completed,online
320,42390,953,240.75,2025-02-13,failed,online
321,23056,4673,830.2,2025-02-18,failed,online
322,43628,1651,1467.56,2025-06-27,failed,online
323,28938,2606,1827.99,2025-02-25,failed,online
324,33893,2005,623.16,2025-08-12,failed,online
325,10942,970,363.21,2025-10-11,completed,online
326,47503,3679,551.57,2025-08-17,failed,
327,33188,3957,1497.32,2025-04-26,completed,online
328,5610,3334,1668.28,2025-03-31,completed,online
329,381,2870,479.09,2025-08-22,failed,online
330,21715,2904,1850.76,2025-04-30,failed,online
331,26677,1,338.84,2025-12-02,completed,online
332,836,1,16.59,2025-10-02,completed,online
333,36211,7,390.64,2025-12-03,completed,online
334,2145,4393,1094.38,2025-09-27,completed,online
335,39256,2976,1000.45,2025-10-26,failed,online
336,35357,1514,1753.27,2025-04-22,failed,online
337,31770,1,583.16,2025-02-17,failed,online
338,35195,3363,1959.64,2025-09-22,failed,online
339,31374,3627,292.68,2025-09-24,failed,online
340,8075,4096,1570.76,2025-11-02,failed,online
341,48420,1,974.6,2025-06-19,completed,online
342,43425,2994,1827.49,2025-03-30,completed,online
343,11661,4251,1057.79,2025-01-08,completed,online
344,47795,375,610.77,2025-04-10,failed,online
345,35824,2446,622.49,2025-08-13,failed,online
346,28734,1,548.0,2025-07-26,failed,online
347,22467,4621,1496.17,2025-05-05,completed,online
348,44393,2086,1599.87,2025-02-01,failed,online
