transaction_id,customer_id,product_id,amount,status,channel,_corrupt_record,ingestion_timestamp,source_file,transaction_date,year,month
10000,45007,3265,1432.64,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-10-30,2025,10
100008,11467,1792,1065.49,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-01-26,2025,1
100010,10281,1507,1484.62,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-12-20,2025,12
100014,28934,823,550.38,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-06-25,2025,6
100021,42768,1,1095.66,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-11-29,2025,11
100022,15953,1,59.67,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-05-02,2025,5
100025,29304,1,58.56,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-05-12,2025,5
100029,43995,2247,140.93,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-02-04,2025,2
100031,28602,1132,1698.51,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-03-16,2025,3
100040,1752,837,464.57,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-10-30,2025,10
100054,16183,4674,1373.4,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-01-18,2025,1
100060,47405,2529,1049.84,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-01-13,2025,1
100062,40315,2487,1869.33,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-09-30,2025,9
100068,17988,1,547.7,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-12-04,2025,12
100070,12299,1761,1851.15,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-01-24,2025,1
100083,30493,768,806.58,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-12-16,2025,12
100087,42146,4457,1585.9,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-08-05,2025,8
10009,48796,1,1283.56,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-06-13,2025,6
100090,45882,3988,9333.755833645755,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-10-06,2025,10
100092,34995,4961,1296.19,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-06-23,2025,6
10010,35285,3685,1414.45,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-11-19,2025,11
100102,20995,3328,1979.92,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-05-05,2025,5
100103,34089,2801,387.53,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-11-20,2025,11
100108,13788,1658,380.83,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-07-31,2025,7
100109,48740,2860,1278.45,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-02-13,2025,2
10011,49858,2811,1045.47,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-09-28,2025,9
100111,4196,1,1215.23,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-04-24,2025,4
100116,11444,3955,791.56,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-12-10,2025,12
10012,2213,3018,241.45,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-07-09,2025,7
100120,18136,2907,88.17,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-01-21,2025,1
100124,46136,916,698.01,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-11-05,2025,11
100125,27923,4107,903.99,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-03-10,2025,3
100128,36213,1,1511.21,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-02-25,2025,2
100129,49764,1,1937.56,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-06-12,2025,6
100130,19074,1,1948.54,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-11-05,2025,11
100131,49330,3420,461.94,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-04-22,2025,4
100132,39888,4732,609.99,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-10-29,2025,10
100138,27111,2436,1987.42,failed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-10-07,2025,10
100140,47249,1,364.66,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-03-16,2025,3
100142,3679,1,465.69,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-02-06,2025,2
100144,46311,1896,608.71,completed,online,,2026-02-17T06:33:32.374Z,file:///opt/spark-apps/data/raw/transactions.csv,2025-08-08,2025,8
